team,player,period,min,sec,pass zone,x,y,x_end,y_end,pass length,pass angle,outcome
Real Madrid,Daniel Carvajal,1,16,1,Center,96.0,30.7,90.6,44.5,11.0,2.1,1
Leganés,Michael Santos,1,16,56,Back,49.9,50.1,43.5,69.6,14.9,2.0,1
Leganés,Gerard Gumbau,1,16,58,Left,42.0,64.3,71.1,100.0,39.5,0.7,0
Real Madrid,Daniel Carvajal,1,17,7,Back,24.9,0.0,33.3,8.9,11.2,0.7,1
Real Madrid,Luka Modric,1,17,10,Back,31.8,10.6,25.5,4.4,7.8,3.7,1
Real Madrid,Daniel Carvajal,1,17,13,Back,20.4,6.6,16.0,38.8,22.4,1.8,1
Real Madrid,Sergio Ramos,1,17,15,Back,17.0,43.6,36.3,86.9,35.7,1.0,1
Real Madrid,Marcelo,1,17,20,Back,39.5,73.8,41.1,84.8,7.7,1.3,1
Real Madrid,Toni Kroos,1,17,21,Back,40.5,87.2,44.1,96.5,7.4,1.0,1
Real Madrid,Marco Asensio,1,17,24,Back,38.7,94.8,23.9,76.6,19.9,3.8,1
Real Madrid,Sergio Ramos,1,17,26,Back,22.4,74.4,22.2,38.5,24.4,4.7,1
Real Madrid,Raphael Varane,1,17,33,Back,34.8,23.4,34.1,11.9,7.9,4.6,1
Real Madrid,Luka Modric,1,17,36,Right,33.9,4.0,85.3,13.7,54.4,0.1,0
Leganés,Dimitrios Siovas,1,17,40,Back,13.6,84.5,5.9,59.4,18.9,4.3,1
Leganés,Iván Cuéllar,1,17,42,Back,5.9,59.4,48.5,53.3,44.9,6.2,1
Real Madrid,Sergio Ramos,1,17,47,Back,38.6,54.0,36.7,39.4,10.1,4.5,1
Real Madrid,Raphael Varane,1,17,49,Back,38.2,35.7,44.2,33.0,6.6,6.0,1
Real Madrid,Luka Modric,1,17,52,Left,41.7,33.4,54.0,96.9,45.1,1.3,1
Real Madrid,Marcelo,1,17,56,Center,55.1,96.3,82.6,75.3,32.2,5.8,0
Leganés,Unai Bustinza,1,17,59,Back,19.4,26.2,31.8,6.5,18.7,5.5,1
Leganés,Juanfran,1,18,1,Back,33.2,6.7,0.0,28.3,38.5,2.8,0
Real Madrid,Toni Kroos,1,18,29,Center,99.5,99.5,91.9,56.3,30.4,4.4,0
Real Madrid,Marcelo,1,18,33,Center,69.7,53.0,74.9,36.7,12.4,5.2,1
Real Madrid,Luka Modric,1,18,35,Center,72.0,35.1,97.6,31.9,27.0,6.2,1
Real Madrid,Sergio Ramos,1,18,39,Center,97.6,31.8,94.6,47.0,10.8,1.9,0
Real Madrid,Toni Kroos,1,19,3,Right,99.5,0.5,83.6,8.2,17.5,2.8,1
Real Madrid,Marco Asensio,1,19,4,Right,83.6,8.2,75.7,15.0,9.5,2.6,1
Real Madrid,Daniel Carvajal,1,19,6,Center,75.3,14.4,76.9,33.7,13.2,1.4,1
Real Madrid,Luka Modric,1,19,8,Center,77.1,34.0,87.1,33.0,10.5,6.2,0
Leganés,Juanfran,1,19,9,Left,10.4,64.0,80.8,100.0,78.2,0.3,0
Real Madrid,Daniel Carvajal,1,19,19,Back,22.1,0.0,11.4,26.1,22.2,2.1,1
Real Madrid,Thibaut Courtois,1,19,23,Back,12.4,46.4,24.8,58.4,15.4,0.6,1
Real Madrid,Casemiro,1,19,27,Back,24.8,58.4,30.5,67.3,8.5,0.8,1
Real Madrid,Sergio Ramos,1,19,28,Back,30.5,67.3,27.2,63.9,4.2,3.7,1
Real Madrid,Casemiro,1,19,29,Back,32.2,67.9,44.9,98.3,24.6,1.0,1
Real Madrid,Marco Asensio,1,19,32,Back,44.9,98.3,32.9,73.6,21.0,4.1,1
Real Madrid,Casemiro,1,19,34,Back,36.8,63.6,30.2,37.4,19.1,4.3,1
Real Madrid,Raphael Varane,1,19,37,Back,31.7,35.1,39.9,4.1,22.8,5.1,1
Real Madrid,Daniel Carvajal,1,19,40,Back,39.5,7.0,27.5,36.9,23.9,2.1,1
Real Madrid,Raphael Varane,1,19,43,Back,28.6,40.0,38.3,76.0,26.5,1.2,1
